id,snapshot_date,popularity,vote_average,vote_count
746056,2026-02-20,0.613,6.6,42
632304,2026-02-20,1.4701,5.406,134
646371,2026-02-20,0.4409,5.8,11
1031365,2026-02-20,0.1961,6.0,1
661397,2026-02-20,0.2066,2.063,8
716676,2026-02-20,0.2012,6.0,6
642208,2026-02-20,4.3703,6.9,348
743055,2026-02-20,0.6772,6.0,2
793680,2026-02-20,0.0985,0.0,0
685964,2026-02-20,0.4294,3.0,4
761563,2026-02-20,1.6119,6.151,192
754736,2026-02-20,0.1091,0.0,0
676156,2026-02-20,0.6067,5.9,27
680880,2026-02-20,0.4959,6.407,43
750758,2026-02-20,0.5128,6.0,1
669228,2026-02-20,0.0439,10.0,2
767080,2026-02-20,0.3229,0.0,0
642380,2026-02-20,0.15,3.654,13
756650,2026-02-20,0.1084,5.0,3
755232,2026-02-20,0.0143,0.0,0
698844,2026-02-20,0.0453,0.0,0
782073,2026-02-20,0.0387,0.0,0
750471,2026-02-20,0.6176,5.962,13
863546,2026-02-20,0.0844,0.0,0
884049,2026-02-20,0.2186,0.0,0
517412,2026-02-20,4.7431,5.815,363
1033751,2026-02-20,0.0404,0.0,0
731240,2026-02-20,0.2168,0.0,0
782086,2026-02-20,0.2433,5.0,3
1170383,2026-02-20,0.3084,8.4,5
660521,2026-02-20,2.3079,5.983,30
344031,2026-02-20,0.4794,7.09,83
664797,2026-02-20,0.1589,4.0,1
662711,2026-02-20,0.1608,5.4,5
585744,2026-02-20,0.7342,6.7,131
796517,2026-02-20,0.0628,0.0,0
667953,2026-02-20,0.7,6.4,13
726739,2026-02-20,1.7116,6.3,253
822642,2026-02-20,0.0664,0.0,0
694119,2026-02-20,0.0286,0.0,0
1214192,2026-02-20,0.3953,0.0,0
836498,2026-02-20,0.12,0.0,0
554433,2026-02-20,0.117,5.6,7
686003,2026-02-20,0.4503,4.308,39
744366,2026-02-20,0.284,6.0,1
728096,2026-02-20,0.3355,6.0,6
458793,2026-02-20,0.3251,7.0,12
722771,2026-02-20,0.0988,0.0,0
627518,2026-02-20,0.2189,9.0,1
766146,2026-02-20,0.1112,0.0,0
713836,2026-02-20,0.2369,0.0,0
927562,2026-02-20,0.1962,0.0,0
750598,2026-02-20,0.117,6.0,3
757013,2026-02-20,0.1326,6.4,5
754607,2026-02-20,0.0784,2.0,3
666175,2026-02-20,0.3283,5.8,20
516486,2026-02-20,5.9179,7.4,3217
690935,2026-02-20,0.1052,3.0,4
757320,2026-02-20,0.1956,4.0,1
586695,2026-02-20,2.1127,6.4,32
522444,2026-02-20,1.937,5.181,464
806618,2026-02-20,1.9048,0.0,0
741494,2026-02-20,0.1479,5.0,1
834898,2026-02-20,0.0873,0.0,0
763214,2026-02-20,0.2933,0.0,0
666752,2026-02-20,0.1435,6.0,1
825577,2026-02-20,0.0389,0.0,0
718334,2026-02-20,0.2711,6.4,6
570358,2026-02-20,0.435,5.969,32
1060476,2026-02-20,0.0655,0.0,0
959704,2026-02-20,0.0877,0.0,0
619083,2026-02-20,1.0214,7.25,12
765736,2026-02-20,0.1788,7.333,3
682825,2026-02-20,0.2973,3.5,26
650842,2026-02-20,0.0561,4.0,1
671074,2026-02-20,1.2517,4.5,2
671074,2026-02-20,1.2517,4.5,2
669337,2026-02-20,0.3721,6.0,15
781342,2026-02-20,0.1647,0.0,0
765135,2026-02-20,0.2358,6.5,2
678931,2026-02-20,0.3451,9.0,4
728791,2026-02-20,0.3404,5.0,41
758992,2026-02-20,0.0886,7.0,2
721625,2026-02-20,4.4507,6.2,774
702869,2026-02-20,0.2407,7.9,8
614696,2026-02-20,5.4887,7.215,1998
746800,2026-02-20,0.0591,5.3,3
620924,2026-02-20,0.827,4.6,133
508687,2026-02-20,0.4428,4.2,11
1329272,2026-02-20,0.1346,0.0,0
581526,2026-02-20,3.17,6.895,223
749734,2026-02-20,0.0629,6.4,5
724989,2026-02-20,1.6754,4.952,656
714351,2026-02-20,2.5712,5.5,114
748279,2026-02-20,0.0595,0.0,0
765729,2026-02-20,0.1805,5.0,7
931153,2026-02-20,0.1284,3.5,2
661334,2026-02-20,1.1048,6.7,39
700567,2026-02-20,0.4317,1.2,2
1296963,2026-02-20,0.0214,0.0,0
795193,2026-02-20,0.2298,1.5,2
660047,2026-02-20,0.6762,5.7,6
792325,2026-02-20,0.0306,0.0,0
722075,2026-02-20,0.1037,0.0,0
670426,2026-02-20,0.5523,5.408,98
779485,2026-02-20,0.077,0.0,0
872172,2026-02-20,0.2586,7.0,1
665894,2026-02-20,0.6424,6.5,36
779572,2026-02-20,1.39,0.0,0
696893,2026-02-20,0.0607,7.2,12
771119,2026-02-20,0.0468,6.0,1
751097,2026-02-20,0.1806,4.333,3
732927,2026-02-20,0.2077,6.0,5
671397,2026-02-20,0.6222,7.375,8
1183174,2026-02-20,0.095,6.0,1
763233,2026-02-20,0.0533,5.8,8
707610,2026-02-20,3.7743,6.143,14
746547,2026-02-20,0.4863,7.344,32
614971,2026-02-20,0.3448,6.278,54
946791,2026-02-20,0.1344,0.0,0
526702,2026-02-20,2.9349,7.996,351
744929,2026-02-20,0.1707,5.6,7
723122,2026-02-20,0.6901,5.0,1
454433,2026-02-20,1.2317,6.9,213
1402124,2026-02-20,0.0621,0.0,0
680483,2026-02-20,0.1016,0.0,0
684420,2026-02-20,0.3364,3.739,46
1078340,2026-02-20,0.4152,6.0,1
768891,2026-02-20,0.0466,0.0,0
1283458,2026-02-20,0.1038,0.0,0
687073,2026-02-20,0.0602,0.0,0
504409,2026-02-20,0.3456,3.8,5
653575,2026-02-20,0.1545,6.13,54
763368,2026-02-20,0.3383,5.227,33
741874,2026-02-20,0.1343,4.0,1
662940,2026-02-20,0.5718,6.5,3
688136,2026-02-20,0.0377,0.0,0
582014,2026-02-20,5.825,7.398,3595
699115,2026-02-20,0.8956,0.0,0
752637,2026-02-20,0.1074,5.7,3
661037,2026-02-20,0.1391,4.4,8
741146,2026-02-20,0.0363,7.0,1
717675,2026-02-20,0.5241,6.335,127
724109,2026-02-20,3.9948,5.5,12
753445,2026-02-20,0.0486,0.0,0
706727,2026-02-20,0.1788,4.5,13
547017,2026-02-20,4.7542,6.1,198
757809,2026-02-20,0.1398,3.0,1
893098,2026-02-20,0.1525,0.0,0
733906,2026-02-20,1.8538,6.1,17
893098,2026-02-20,0.1525,0.0,0
546121,2026-02-20,3.9125,7.227,2814
630211,2026-02-20,1.0377,7.679,39
697741,2026-02-20,0.4734,6.643,42
663459,2026-02-20,0.646,6.919,118
743888,2026-02-20,0.2746,3.618,119
718444,2026-02-20,1.9877,5.598,726
774247,2026-02-20,0.1533,6.0,1
721343,2026-02-20,0.3341,5.9,19
680986,2026-02-20,0.308,6.3,3
975027,2026-02-20,0.0675,6.8,8
715658,2026-02-20,0.3608,6.0,111
783839,2026-02-20,0.3111,0.0,0
653745,2026-02-20,0.1752,1.0,2
730060,2026-02-20,0.1784,5.0,2
741667,2026-02-20,0.1015,0.0,0
680338,2026-02-20,0.1211,2.0,2
572123,2026-02-20,0.3294,6.5,13
750630,2026-02-20,0.1036,6.0,1
702101,2026-02-20,0.0655,0.0,0
675323,2026-02-20,0.4319,4.4,6
618229,2026-02-20,0.3744,6.154,26
995468,2026-02-20,0.069,4.5,4
668044,2026-02-20,0.0877,4.0,3
865870,2026-02-20,0.2277,0.0,0
746045,2026-02-20,0.346,6.809,55
689160,2026-02-20,2.0117,10.0,1
415311,2026-02-20,1.094,4.925,147
784159,2026-02-20,0.0575,0.0,0
686684,2026-02-20,2.1113,5.8,38
748126,2026-02-20,0.0642,0.0,0
622469,2026-02-20,0.4183,6.6,66
1267219,2026-02-20,0.1109,1.5,2
668366,2026-02-20,0.1381,8.0,1
1111040,2026-02-20,0.0965,0.0,0
670266,2026-02-20,1.8565,6.069,246
752764,2026-02-20,0.0214,0.0,0
677574,2026-02-20,1.9387,5.9,35
717716,2026-02-20,0.295,6.0,1
521007,2026-02-20,3.8924,5.978,314
690306,2026-02-20,0.0412,0.0,0
827554,2026-02-20,0.0454,0.0,0
691126,2026-02-20,0.1296,6.3,5
777280,2026-02-20,0.1622,0.0,0
690667,2026-02-20,0.0588,0.0,0
750121,2026-02-20,0.3384,4.7,28
753144,2026-02-20,0.0168,0.0,0
686827,2026-02-20,0.0972,8.0,1
789774,2026-02-20,0.0782,10.0,1
706634,2026-02-20,1.1438,5.5,2
653910,2026-02-20,0.5906,6.136,154
787619,2026-02-20,0.4701,6.3,23
858634,2026-02-20,1.0225,0.0,0
1035779,2026-02-20,0.0311,0.0,0
797175,2026-02-20,0.135,4.0,1
625552,2026-02-20,2.3203,6.1,8
