id,popularity,vote_average,vote_count
841396,0.0933,5.0,1
706260,0.6909,6.4,47
696428,0.2429,4.4,5
758094,0.082,0.0,0
679057,1.9671,5.167,6
733692,0.3301,0.0,0
1185086,0.1882,10.0,1
799063,0.1145,7.0,2
655297,3.5894,5.533,15
686245,1.2446,4.832,259
755230,1.0174,5.9,34
647781,0.7453,4.953,75
724574,0.8581,7.5,34
655080,0.3826,5.045,56
677080,0.1255,0.0,0
968859,0.0752,0.0,0
734288,0.3947,5.308,13
724427,0.3845,4.676,34
1018337,1.0047,0.0,0
838869,0.0389,7.0,1
1458503,0.1803,10.0,2
661977,0.9115,2.0,1
646454,0.2051,6.7,3
764193,0.1896,0.0,0
1292692,0.3417,0.0,0
589696,0.144,1.0,3
778844,0.4641,5.6,15
689402,0.0617,4.0,5
647785,1.2771,6.2,248
767497,0.0992,7.0,2
718887,3.0379,1.2,4
721138,0.4065,5.1,14
611395,1.5945,6.7,247
664413,5.4223,7.004,9417
675256,0.1318,4.0,4
605755,0.2067,5.6,7
868673,0.1225,0.0,0
764524,0.1172,0.0,0
663875,3.36,2.0,1
670347,0.1392,6.0,3
674304,0.3197,6.3,3
731376,0.0571,0.0,0
793605,1.6109,4.5,2
501738,0.6967,6.701,139
615761,1.0232,6.449,273
610908,0.3857,5.1,14
737396,0.2409,7.0,1
746695,0.0698,4.5,2
741612,0.747,5.176,105
751298,0.2551,6.5,6
649918,0.2826,5.5,55
706518,0.7377,4.0,1
683307,0.0468,0.0,0
794985,0.1747,0.0,0
770977,0.1199,7.667,3
751186,0.1209,8.0,2
615665,5.879,6.978,2325
733837,1.4148,7.0,18
750659,0.0338,8.0,1
639798,5.8777,6.457,685
776321,0.0793,5.8,3
748990,0.1124,0.0,0
762632,0.4505,6.697,94
760989,0.1033,0.0,0
737777,0.5599,6.486,35
696673,0.1508,6.5,6
738041,0.2347,6.5,4
775946,0.0926,0.0,0
872392,0.1008,0.0,0
761638,0.3425,0.0,0
785059,0.1504,0.0,0
1081030,0.0214,0.0,0
1468451,0.1687,0.0,0
683105,1.3505,5.0,1
805627,0.8611,7.228,279
770323,0.2318,3.7,3
743408,0.6366,6.6,14
785820,0.0725,0.0,0
709027,0.0852,0.0,0
661679,0.3034,4.25,8
599377,3.1337,6.1,273
699167,0.8006,0.0,0
985048,0.1256,0.0,0
853833,0.1103,0.0,0
744864,0.241,0.0,0
751151,0.0952,0.0,0
750468,0.1995,2.3,3
573000,0.3574,0.0,0
650981,0.4845,5.4,17
677661,0.055,10.0,1
734152,0.047,0.0,0
1015540,0.1553,2.0,1
932506,0.0585,6.0,5
661701,0.1068,3.0,3
688468,0.4155,8.2,6
727700,0.0214,0.0,0
813874,0.1967,0.0,0
809684,0.0286,10.0,1
671405,0.1129,6.5,2
594718,1.8933,6.531,958
717372,1.6105,5.0,5
651881,1.1434,7.171,943
